position,title,link,redirect_link,displayed_link,snippet,snippet_highlighted_words,source,sitelinks,must_include,missing,date,search_param_q,search_param_google_domain,search_param_gl,search_param_device
1,TIOmarkets | Top Rated Broker | Online Trading Platform,https://tiomarkets.com/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://tiomarkets.com/&ved=2ahUKEwjO-6qWrOuMAxVcTDABHQNHKZwQFnoECDsQAQ,https://tiomarkets.com,Trade with a reputable broker. Unlock endless opportunities and exponentially amplify your potential in the financial markets.,[],TIOmarkets,"{'expanded': [{'title': 'Online Trading | Forex | CFDs', 'link': 'https://tiomarkets.com/en/login', 'snippet': 'TIO Markets Ltd. is authorised by Mwali International Services ...'}, {'title': 'Register here', 'link': 'https://tiomarkets.com/en/register', 'snippet': 'Start trading with a top-rated broker · 30% Loyalty deposit ...'}, {'title': 'Trading accounts comparison', 'link': 'https://tiomarkets.com/en/accounts', 'snippet': 'Select an account that is right for you and start trading Forex ...'}, {'title': 'Forex Trading Bonus, Promos ...', 'link': 'https://tiomarkets.com/en/promotions', 'snippet': 'From exclusive rewards for referring friends to forex trading ...'}, {'title': 'Demo Trading Account', 'link': 'https://tiomarkets.com/en/demo', 'snippet': 'Follow these detailed steps to start demo trading on the MT4 or ...'}]}",,,,TioMarkets,google.com,sg,desktop
2,TIOmarkets | Online Trading | Forex | CFDs | Stocks,https://tiomarkets.eu/en/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://tiomarkets.eu/en/&ved=2ahUKEwjO-6qWrOuMAxVcTDABHQNHKZwQFnoECDIQAQ,https://tiomarkets.eu › ...,"TIOmarkets is a leading online trading platform. Trade Forex, CFDs, Stocks, Commodities and Indices. Trade with low spreads, fast execution and no ...",['TIOmarkets is a leading online trading platform'],tiomarkets.eu,,,,,TioMarkets,google.com,sg,desktop
3,TIOmarkets,https://www.instagram.com/tiomarkets/?hl=en,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.instagram.com/tiomarkets/%3Fhl%3Den&ved=2ahUKEwjO-6qWrOuMAxVcTDABHQNHKZwQFnoECDkQAQ,3.1K+ followers,"Trade forex, stocks, indices & commodities markets with low fees. Trading is risky! tiomarkets.com Follow Message","['Trade forex, stocks, indices & commodities markets']",Instagram · tiomarkets,,,,,TioMarkets,google.com,sg,desktop
4,TIOmarkets,https://vc.linkedin.com/company/tiomarkets,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://vc.linkedin.com/company/tiomarkets&ved=2ahUKEwjO-6qWrOuMAxVcTDABHQNHKZwQFnoECDMQAQ,4K+ followers,This week's economic calendar is packed with high-impact events! Don't miss out – see below for the full calendar and make informed trading decisions.,[],LinkedIn · TIOmarkets,,,,,TioMarkets,google.com,sg,desktop
5,The Truth About Trading - TioMarkets,https://www.youtube.com/watch?v=fyVnKh7GcBA,,36.2K+ views · 5 months ago,Trading is like gambling and he gave his honest opinion as to why this industry has such a bad name.,[],YouTube · Yianni,,,,,TioMarkets,google.com,sg,desktop
6,TIOmarkets,https://www.facebook.com/TIOmarkets/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.facebook.com/TIOmarkets/&ved=2ahUKEwjO-6qWrOuMAxVcTDABHQNHKZwQFnoECHIQAQ,8.5K+ followers,This week's economic calendar is packed with high-impact events! Don't miss out – see below for the full calendar and make informed trading decisions.,['economic calendar is packed with high-impact events'],Facebook · TIOmarkets,,,,,TioMarkets,google.com,sg,desktop
7,TIOmarkets - X,https://x.com/tiomarkets?lang=en,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://x.com/tiomarkets%3Flang%3Den&ved=2ahUKEwjO-6qWrOuMAxVcTDABHQNHKZwQFnoECG0QAQ,https://x.com › tiomarkets,Online Forex broker. Trade financial markets. The content of this page is not intended to EU residence. Visit our website to learn more.,['Online Forex broker'],x.com,,,,,TioMarkets,google.com,sg,desktop
1,TIOmarkets - X,https://x.com/tiomarkets?lang=en,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://x.com/tiomarkets%3Flang%3Den&ved=2ahUKEwi4n_aWrOuMAxWwFFkFHaPrL5k4ChAWegQIFxAB,https://x.com › tiomarkets,Online Forex broker. Trade financial markets. The content of this page is not intended to EU residence. Visit our website to learn more.,['Online Forex broker'],x.com,,,,,TioMarkets,google.com,sg,desktop
2,Tio Markets Review And Rating,"https://www.myfxbook.com/reviews/brokers/tio-markets/1800945,1","https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.myfxbook.com/reviews/brokers/tio-markets/1800945,1&ved=2ahUKEwi4n_aWrOuMAxWwFFkFHaPrL5k4ChAWegQIFRAB",https://www.myfxbook.com › Reviews › Brokers,"TIOmarkets is an online trading broker committed to providing a low-cost trading environment to new and experienced FX traders, worldwide.",['TIOmarkets'],Myfxbook.com,,,,,TioMarkets,google.com,sg,desktop
3,TIOmarkets - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/tiomarkets,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.crunchbase.com/organization/tiomarkets&ved=2ahUKEwi4n_aWrOuMAxWwFFkFHaPrL5k4ChAWegQIGhAB,https://www.crunchbase.com › organization › tiomarkets,"TIOmarkets provides trading, cryptocurrency, risk management, consulting, accounting, and financial services. Kingstown, Cumbria, United Kingdom · 101-250 ...",['TIOmarkets'],Crunchbase,,,,,TioMarkets,google.com,sg,desktop
