position,link,title,source,date,snippet,thumbnail,source_file
1,https://fxnewsgroup.com/forex-news/retail-forex/oanda-launches-labs-trader-program/,OANDA launches Labs Trader program,FX News Group,22 Jan 2024,The OANDA Labs Trader program allows traders who pass an assessment to gain access to an OANDA Labs Trader account and share in the P&L they produce. OANDA's...,https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c3977cf288b28cf765b041bb37ab184a7025e87cae5a8a23d71.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
2,https://www.financemagnates.com/forex/oanda-launches-prop-trading-services-under-bvi-entity/,OANDA Launches Prop Trading Services under BVI Entity,Finance Magnates,22 Jan 2024,"A Transparent Business Model ... OANDA, a popular brokerage brand in forex and contracts for differences (CFDs), has jumped into the proprietary trading business...",https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c3966ece7c17b4fefc71876ec628c1ef1f711c834913affb836.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
3,https://www.prnewswire.com/in/news-releases/oanda-unveils-labs-trader-program-302040239.html,OANDA unveils Labs Trader program,PR Newswire,22 Jan 2024,"PRNewswire/ -- OANDA Global Corporation today announced the launch of OANDA Labs Trader, a pioneering trading program centred around profit sharing that...",https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c399d7ebb7e19ec072b90fe62d39239a043dc1b08f86131fe8a.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
4,https://www.leaprate.com/forex/oanda-joins-the-prop-trading-industry-with-oanda-labs-trader/,OANDA Joins the Prop Trading Industry With OANDA Labs Trader,LeapRate,22 Jan 2024,"OANDA Joins the Prop Trading Industry With OANDA Labs Trader ... OANDA, a well-known forex and contracts for differences (CFDs) brokerage, has ventured into the...",https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c395c2be519aa8e2871551098e84b32fdf46ac836ff608856da.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
5,https://www.tradingview.com/news/financemagnates:7a5fd99d9094b:0-oanda-tms-announces-partnership-with-tradingview-in-poland/,OANDA TMS Announces Partnership with TradingView in Poland,TradingView,11 Jan 2024,"OANDA TMS is the first Polish broker to partner with TradingView, the world's largest charting platform and social network for traders. The collaboration will...",https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c396288e05ee58ae81846dc386c5f6ac7a45aa8caeed6d15003.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
6,https://www.marketpulse.com/forex/gbp/gbp-usd-volatile-after-uk-inflation-and-us-retail-sales-data/cerlam,GBP/USD – Volatile after UK inflation and US retail sales data,MarketPulse,18 Jan 2024,OANDA Senior Market Analyst Craig Erlam gives his analysis of GBPUSD in light of the UK inflation and US retail sales releases.,https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c391e90f13243e735dd8201548be6672e9fe207481c865530e2.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
7,https://www.financemagnates.com/forex/regulated-brokers-are-expanding-to-prop-trading-but-keeping-it-offshore/,"OANDA Is Not Alone: Regulated Brokers Enter Prop Trading, but Keeping It Offshore",Finance Magnates,24 Jan 2024,"OANDA is the latest one to launch prop trading under the brand, OANDA Labs Trader. OANDA, Axi, and Hantec Markets are a few names offering prop trading...",https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c39a92cfae10bba576c5b845448efb012a0c82e17b2afd27ee2.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
8,https://www.forexfactory.com/news/1262926-oanda-unveils-labs-trader-program,OANDA unveils Labs Trader program,Forex Factory,22 Jan 2024,"OANDA unveils Labs Trader program ... It's possible that other brokers will follow suit. ... FF Sister Sites: ... Forex Factory® is a brand of Fair Economy, Inc.",https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c3942c5f450c99f9883212db88b1bfccd31dd0420085d241a13.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
9,https://dailyhodl.com/2024/01/03/oandas-acquisition-of-coinpass-pioneering-crypto-trading/,OANDA’s Acquisition of Coinpass – Pioneering Crypto Trading,The Daily Hodl,3 Jan 2024,"OANDA, a renowned global leader in online multi-asset trading services and currency data, has announced its acquisition of Coinpass.",https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c390be223de770278e03aa29300b14c948f0cf503771e67525f.png,news_structured_OANDA_01-01-2024_01-31-2024
10,https://www.tradingview.com/chart/XAUUSD/5QIJoce9-DXY-US-Dollar-Index-Everything-You-Need-to-Know/,DXY - US Dollar Index. Everything You Need to Know for OANDA:XAUUSD by VasilyTrader,TradingView,20 Jan 2024,Dollar Index (DXY) is a measure of the value of the United States Dollar against a weighted basket of major currencies.,https://serpapi.com/searches/680763d36f27688bfeccc7e1/images/0fed63e44aae3c3966a2c2ceca82c4f82e9ec734c4558523116653c6e4d17956.jpeg,news_structured_OANDA_01-01-2024_01-31-2024
